
0	 -934	 -2150	 -3554	 -5040	 -6664	 -8489	 -10228	 -12145	 -14229	 -16462	 -18868	 -20768	 -22962	 -25104	 -28020	 -31044	 -34190	 -35950	 -39338	 -41444	 -43263	 -46423	 -47649	 -51641	 -54570	 -56989	 -61289	 -62269	 -63255	 
-1030	 -1964	 -3118	 -4400	 -5925	 -7303	 -8777	 -10721	 -11904	 -13674	 -16083	 -18596	 -21201	 -23123	 -25905	 -28249	 -31237	 -32260	 -34627	 -36391	 -39851	 -43145	 -44222	 -47346	 -50858	 -54883	 -57244	 -60799	 -60560	 -59651	 
-2196	 -3100	 -4277	 -5299	 -6743	 -7951	 -8907	 -10142	 -12164	 -12946	 -14280	 -15650	 -16666	 -19345	 -22091	 -24573	 -27522	 -30592	 -32095	 -33348	 -36333	 -39858	 -39605	 -43401	 -47280	 -48209	 -50638	 -53006	 -53337	 -55705	 
-3587	 -4489	 -5643	 -6531	 -8021	 -9141	 -10208	 -11412	 -12965	 -13858	 -15440	 -15211	 -16517	 -16317	 -16826	 -17429	 -17289	 -18030	 -18092	 -21337	 -19231	 -19394	 -21465	 -24558	 -27888	 -31136	 -35136	 -39246	 -43421	 -46519	 
-5284	 -6140	 -7293	 -8205	 -9672	 -10625	 -11124	 -12011	 -11877	 -13155	 -13960	 -15980	 -15779	 -16880	 -18080	 -18622	 -18419	 -19093	 -15494	 -15627	 -16309	 -17953	 -19212	 -22189	 -22644	 -20034	 -18269	 -22292	 -22650	 -21131	 
-7137	 -7848	 -8798	 -9826	 -11137	 -11844	 -12170	 -13720	 -12209	 -13199	 -15447	 -15749	 -16528	 -14669	 -17250	 -19923	 -18019	 -17232	 -16170	 -16654	 -13207	 -16514	 -18810	 -17141	 -18097	 -18307	 -18683	 -18875	 -20044	 -12947	 
-9004	 -9542	 -10563	 -11709	 -12263	 -13675	 -13698	 -15482	 -12584	 -11914	 -12959	 -13488	 -13430	 -14934	 -17452	 -14772	 -17481	 -17212	 -17302	 -15580	 -13002	 -10991	 -13135	 -12214	 -15763	 -13046	 -16763	 -13506	 -17389	 -8636	 
-10895	 -11215	 -12354	 -13677	 -13658	 -14206	 -13494	 -15239	 -13812	 -12190	 -12891	 -12934	 -14047	 -16447	 -14780	 -14293	 -16932	 -18455	 -16302	 -13974	 -14014	 -8317	 -11614	 -12949	 -15836	 -12199	 -11975	 -9419	 -13194	 -4189	 
-12993	 -13298	 -14142	 -14742	 -14728	 -16180	 -14092	 -14819	 -12406	 -11861	 -10141	 -12315	 -10369	 -12704	 -12006	 -12114	 -11641	 -14316	 -14456	 -15092	 -15046	 -3213	 -4070	 -3147	 794	 1232	 1474	 -2137	 -5129	 -337	 
-15230	 -15520	 -15640	 -16910	 -15663	 -15921	 -14805	 -15098	 -14369	 -9220	 -9602	 -9900	 -10218	 -7025	 -8169	 -6868	 -7578	 -9012	 -7723	 -4448	 -3190	 -4219	 2103	 -1075	 98	 1083	 1674	 5771	 8197	 4570	 
-17494	 -17739	 -17281	 -18520	 -17394	 -18142	 -16406	 -16823	 -12484	 -7785	 -8814	 -5898	 -6568	 -8031	 -7698	 -7322	 -7240	 -7691	 -3894	 -5677	 -2403	 -5252	 7303	 10817	 10402	 15620	 16701	 15301	 16941	 19722	 
-19765	 -19924	 -19023	 -19247	 -18900	 -20229	 -18689	 -15779	 -14423	 -6811	 -5900	 -4655	 -4691	 -4575	 -2190	 1936	 3130	 710	 4014	 2802	 3964	 4318	 12216	 12654	 11472	 17381	 16174	 22031	 18994	 21996	 
-22383	 -21522	 -21318	 -20398	 -20290	 -20600	 -19903	 -18124	 -14650	 -4068	 -4074	 -2497	 -2633	 -4666	 -4013	 3156	 8663	 6342	 6779	 4284	 5834	 6365	 11200	 15218	 13719	 20650	 24747	 21623	 22678	 24567	 
-24814	 -23265	 -23257	 -21668	 -22854	 -20982	 -19095	 -17547	 -14619	 -5909	 -5043	 -2133	 1739	 1040	 4007	 7731	 7988	 10463	 8186	 5797	 5419	 5219	 12193	 19265	 22825	 21736	 24200	 22780	 29997	 29414	 
-26747	 -25345	 -25237	 -23657	 -24795	 -23579	 -21637	 -17971	 -17037	 -5661	 -4426	 -4321	 -360	 -966	 6311	 11142	 9116	 10946	 16957	 18480	 16122	 19936	 17369	 22687	 29137	 30633	 30272	 28766	 35627	 35291	 
-29103	 -27709	 -26109	 -25804	 -25533	 -26272	 -21287	 -20549	 -17739	 -4055	 -5625	 -855	 1051	 -708	 4313	 15520	 17909	 15904	 19189	 20231	 21019	 23237	 24196	 21710	 29857	 32329	 29694	 28327	 36484	 40514	 
-31151	 -28683	 -27953	 -25260	 -24669	 -25194	 -21930	 -20804	 -18448	 -6556	 -6856	 416	 861	 -238	 6227	 19430	 22794	 29333	 33730	 36748	 39846	 44946	 42626	 45005	 45737	 48289	 50653	 51195	 48898	 46244	 
-34112	 -30388	 -31101	 -28357	 -27709	 -27490	 -24849	 -20923	 -19181	 -2857	 -287	 -77	 3202	 1637	 10765	 17293	 20772	 31794	 33713	 37422	 43155	 48304	 46126	 43909	 46827	 48388	 52184	 52301	 52114	 51579	 
-36996	 -31519	 -29000	 -27141	 -25026	 -20681	 -18188	 -15672	 -13745	 -2945	 -2968	 3687	 7508	 9987	 12527	 20293	 24527	 30594	 38840	 39700	 47958	 52075	 55417	 53954	 55862	 54652	 56323	 60661	 62461	 62929	 
-39447	 -32902	 -31154	 -30479	 -26663	 -18431	 -17684	 -14989	 -13110	 -4564	 -92	 5186	 8848	 14132	 19450	 18020	 27403	 31565	 43347	 46643	 49735	 54455	 55610	 57739	 57378	 55387	 58238	 61813	 62449	 66674	 
-43040	 -36452	 -34646	 -33673	 -28220	 -19196	 -18908	 -15827	 -10427	 -5294	 -619	 2416	 12388	 13118	 17010	 17539	 25201	 34857	 42762	 44838	 52462	 57832	 58930	 62353	 63530	 65056	 65600	 67532	 69913	 67944	 
-46101	 -40094	 -35526	 -32115	 -31678	 -20240	 -18165	 -17869	 -10877	 -2553	 641	 -425	 10089	 12944	 17967	 16775	 28625	 32975	 43230	 47205	 50739	 58768	 59124	 65747	 65804	 66899	 68721	 68756	 71005	 69223	 
-47817	 -42604	 -37340	 -35706	 -31286	 -20748	 -20861	 -21149	 -9031	 -3262	 4943	 5695	 11297	 17870	 22796	 25655	 29366	 30799	 47107	 45879	 48988	 57170	 57689	 64478	 64707	 68423	 70117	 70734	 75473	 75014	 
-51013	 -45835	 -35761	 -35114	 -33341	 -17857	 -15868	 -15667	 -12285	 -3578	 5766	 4917	 11195	 15161	 22161	 23444	 27034	 31493	 45618	 47166	 51429	 56832	 62782	 63191	 63592	 68545	 74114	 76096	 75086	 75580	 
-53163	 -49009	 -34100	 -33431	 -33353	 -21434	 -18442	 -17014	 -8928	 -6771	 3116	 9092	 14147	 20346	 26330	 25512	 30146	 35449	 43525	 50616	 52409	 59417	 64664	 66324	 65215	 69733	 73344	 75516	 76592	 80403	 
-55096	 -50253	 -35452	 -34642	 -32853	 -22398	 -19957	 -14127	 -5511	 2093	 6677	 14485	 18211	 19529	 23918	 25296	 35024	 34278	 44027	 53601	 53413	 63741	 63172	 65006	 69363	 69495	 77437	 76439	 77343	 80203	 
-59197	 -50816	 -38660	 -36307	 -36011	 -21090	 -21506	 -12438	 -2739	 -1229	 8338	 11397	 18987	 21758	 23274	 24291	 39309	 39853	 44246	 51912	 52530	 64804	 66862	 68963	 68570	 68525	 78559	 78523	 81995	 82361	 
-59423	 -54300	 -40016	 -38463	 -36007	 -22195	 -16739	 -12097	 -2481	 -2834	 12998	 14595	 19015	 21193	 23672	 30535	 38551	 39554	 42056	 49876	 52921	 66950	 68173	 70152	 73274	 72690	 81634	 83384	 82773	 82158	 
-62504	 -57344	 -41671	 -39792	 -32700	 -20303	 -20517	 -7589	 -6043	 580	 9668	 11392	 18261	 22209	 25691	 32603	 37483	 41040	 45619	 51345	 52967	 69527	 69152	 70240	 77743	 78118	 83183	 82775	 82367	 83555	 
-66867	 -60718	 -45389	 -37563	 -30702	 -21381	 -21489	 -11329	 -2808	 -2929	 6280	 12941	 16699	 25429	 25287	 33599	 40283	 40127	 45541	 49237	 55666	 68852	 71258	 74821	 77301	 80208	 82366	 82162	 85584	 87826	 

42 921904
